step,episode,reward_mean,policy_loss,value_loss,entropy,equity_mean,hold_ratio,long_ratio,short_ratio,close_ratio
1024,2,0.0,0.05837313085794449,0.03571553900837898,1.0661195516586304,10357.4140625,0.060546875,0.271484375,0.1142578125,0.5537109375
2048,4,0.0,0.05593516305088997,0.03236262500286102,1.0656020641326904,10240.03515625,0.056640625,0.263671875,0.12890625,0.55078125
3072,6,0.0,0.04412155598402023,0.028563469648361206,1.063615322113037,10233.3505859375,0.0615234375,0.27734375,0.1240234375,0.537109375
4096,8,0.0,0.05985835939645767,0.02500055730342865,1.0653698444366455,10089.5146484375,0.0517578125,0.26953125,0.138671875,0.5400390625
5120,10,0.0,0.056663233786821365,0.023585591465234756,1.0674968957901,9711.87109375,0.0537109375,0.265625,0.1396484375,0.541015625
6144,12,0.0,0.05368447303771973,0.02080845646560192,1.0653327703475952,10709.5791015625,0.056640625,0.2734375,0.1015625,0.568359375
7168,14,0.0,0.03961879760026932,0.019993705675005913,1.064350962638855,9583.21484375,0.0439453125,0.2900390625,0.1337890625,0.5322265625
8192,16,0.0,0.045714814215898514,0.018262911587953568,1.0670956373214722,10154.7275390625,0.052734375,0.265625,0.1455078125,0.5361328125
9216,18,0.0,0.05120864510536194,0.017265265807509422,1.0659663677215576,10245.2646484375,0.0634765625,0.2783203125,0.11328125,0.544921875
10240,20,0.0,0.053945671766996384,0.01650649681687355,1.0676878690719604,9734.302734375,0.060546875,0.255859375,0.123046875,0.560546875
11264,22,0.0,0.044908661395311356,0.015178698115050793,1.0659043788909912,10685.7109375,0.048828125,0.2841796875,0.126953125,0.5400390625
12288,24,0.0,0.052047837525606155,0.014052113518118858,1.067182183265686,9921.9033203125,0.05859375,0.2685546875,0.12890625,0.5439453125
13312,26,0.0,0.050380606204271317,0.013284188695251942,1.0662298202514648,9929.376953125,0.056640625,0.283203125,0.1259765625,0.5341796875
14336,28,0.0,0.052133094519376755,0.012872380204498768,1.066789150238037,10101.5869140625,0.06640625,0.2890625,0.130859375,0.513671875
15360,30,0.0,0.0315164253115654,0.011937443166971207,1.066617488861084,9799.576171875,0.0517578125,0.25,0.126953125,0.5712890625
16384,32,0.0,0.06168374419212341,0.01168131548911333,1.0648702383041382,10672.802734375,0.06640625,0.279296875,0.1279296875,0.5263671875
17408,34,0.0,0.03397376090288162,0.010297978296875954,1.0674874782562256,9619.69921875,0.0498046875,0.2744140625,0.111328125,0.564453125
18432,36,0.0,0.05587458610534668,0.009981743060052395,1.0666722059249878,9745.3984375,0.0634765625,0.2763671875,0.1142578125,0.5458984375
19456,38,0.0,0.060487013310194016,0.009323397651314735,1.06419038772583,10132.0927734375,0.0576171875,0.2451171875,0.14453125,0.552734375
20480,40,0.0,0.04501022771000862,0.008633463643491268,1.0673145055770874,9802.3798828125,0.0498046875,0.2861328125,0.1142578125,0.5498046875
21504,42,0.0,0.05795693397521973,0.008044457994401455,1.0669642686843872,9979.107421875,0.05859375,0.2666015625,0.140625,0.5341796875
22528,44,0.0,0.05785525590181351,0.007796621881425381,1.0629336833953857,9987.427734375,0.0576171875,0.2646484375,0.1240234375,0.5537109375
23552,46,0.0,0.05602215975522995,0.007209806703031063,1.0644088983535767,9802.369140625,0.0556640625,0.2607421875,0.1357421875,0.5478515625
24576,48,0.0,0.045751236379146576,0.006759733892977238,1.066564917564392,10255.1875,0.05859375,0.279296875,0.13671875,0.525390625
25600,50,0.0,0.041910428553819656,0.006281568203121424,1.063308596611023,9672.640625,0.0498046875,0.2607421875,0.1279296875,0.5615234375
26624,52,0.0,0.03253980353474617,0.006071098148822784,1.066493034362793,10259.162109375,0.056640625,0.2578125,0.1396484375,0.5458984375
27648,54,0.0,0.05856216698884964,0.005499036051332951,1.064837098121643,9868.517578125,0.0556640625,0.265625,0.115234375,0.5634765625
28672,56,0.0,0.05329975485801697,0.005133398342877626,1.0683192014694214,10227.08203125,0.048828125,0.2685546875,0.146484375,0.5361328125
29696,58,0.0,0.0627485066652298,0.004960647784173489,1.064544439315796,10224.4609375,0.0478515625,0.2705078125,0.1259765625,0.5556640625
30720,60,0.0,0.04681798815727234,0.004780254326760769,1.068042278289795,9841.3046875,0.06640625,0.259765625,0.1240234375,0.5498046875
31744,62,0.0,0.040388740599155426,0.004472573287785053,1.0657780170440674,10084.91796875,0.052734375,0.271484375,0.10546875,0.5703125
32768,64,0.0,0.04617796093225479,0.004183284938335419,1.065739393234253,9587.84375,0.0537109375,0.255859375,0.134765625,0.5556640625
33792,66,0.0,0.06391345709562302,0.004120349884033203,1.0661728382110596,9851.251953125,0.05859375,0.2685546875,0.1279296875,0.544921875
34816,68,0.0,0.04920485243201256,0.0036800678353756666,1.0664193630218506,10067.091796875,0.064453125,0.2509765625,0.14453125,0.5400390625
35840,70,0.0,0.04519512504339218,0.003530851798132062,1.0659834146499634,9721.3837890625,0.056640625,0.2724609375,0.111328125,0.5595703125
36864,72,0.0,0.049858950078487396,0.003351353807374835,1.0674209594726562,10782.263671875,0.048828125,0.28515625,0.1220703125,0.5439453125
37888,74,0.0,0.053333885967731476,0.0031200763769447803,1.067183256149292,10026.8447265625,0.0517578125,0.28515625,0.1142578125,0.548828125
38912,76,0.0,0.046127475798130035,0.002752888947725296,1.064813494682312,9846.3310546875,0.0537109375,0.3125,0.138671875,0.4951171875
39936,78,0.0,0.054513514041900635,0.002699411241337657,1.0662097930908203,10257.1484375,0.0380859375,0.27734375,0.1123046875,0.572265625
40960,80,0.0,0.052424557507038116,0.002577644307166338,1.065401315689087,9911.900390625,0.0478515625,0.234375,0.13671875,0.5810546875
41984,82,0.0,0.046738285571336746,0.0023983167484402657,1.0668596029281616,9858.169921875,0.0625,0.2421875,0.1484375,0.546875
43008,84,0.0,0.04626990109682083,0.0022959536872804165,1.0643812417984009,10213.599609375,0.041015625,0.2724609375,0.126953125,0.5595703125
44032,86,0.0,0.057844508439302444,0.0021125529892742634,1.0686984062194824,10074.6708984375,0.056640625,0.2841796875,0.126953125,0.5322265625
45056,88,0.0,0.05219756439328194,0.0019711353816092014,1.065026879310608,9899.83984375,0.0546875,0.2802734375,0.12109375,0.5439453125
46080,90,0.0,0.04211553558707237,0.0018999276217073202,1.067543864250183,10107.384765625,0.0546875,0.25,0.1279296875,0.5673828125
47104,92,0.0,0.03869242966175079,0.0018159713363274932,1.0668399333953857,10108.650390625,0.05078125,0.26953125,0.1142578125,0.5654296875
48128,94,0.0,0.06569233536720276,0.0017197212437167764,1.068485140800476,10087.6923828125,0.0634765625,0.2822265625,0.1201171875,0.5341796875
49152,96,0.0,0.04955044388771057,0.001552583184093237,1.0649150609970093,10049.32421875,0.0615234375,0.2578125,0.13671875,0.5439453125
50000,97,0.0,0.12313703447580338,0.0016835771966725588,1.065714716911316,9784.3369140625,0.05306603773584906,0.2783018867924528,0.12617924528301888,0.5424528301886793
1024,2,-0.06820456683635712,0.03868475556373596,1.0175817012786865,0.3458184003829956,7197.7099609375,0.03125,0.001953125,0.9130859375,0.0537109375
2048,5,-0.057245124131441116,0.01207550335675478,0.5414160490036011,0.34353938698768616,7171.53271484375,0.029296875,0.0,0.9150390625,0.0556640625
3072,8,-0.05462341383099556,0.011412749998271465,0.43428516387939453,0.3421718180179596,7078.4921875,0.03515625,0.0,0.9052734375,0.0595703125
4096,10,-0.05474833399057388,0.03128641098737717,0.3828374743461609,0.3393639922142029,7258.94775390625,0.029296875,0.0009765625,0.9072265625,0.0625
5120,13,-0.054282017052173615,0.019342925399541855,0.3181931972503662,0.3421679735183716,7087.81591796875,0.021484375,0.0,0.908203125,0.0703125
6144,16,-0.05967451259493828,0.011716373264789581,0.3784220218658447,0.34529149532318115,6936.544921875,0.0302734375,0.0009765625,0.9189453125,0.0498046875
7168,18,-0.05202087014913559,0.03593264892697334,0.26041337847709656,0.3397666811943054,7139.646484375,0.0322265625,0.0,0.8876953125,0.080078125
8192,21,-0.053538352251052856,0.011192036792635918,0.2723584771156311,0.33642148971557617,7175.369140625,0.037109375,0.0,0.90625,0.056640625
9216,24,-0.053303636610507965,0.015892764553427696,0.30057793855667114,0.3415009379386902,7210.9013671875,0.03125,0.0,0.9130859375,0.0556640625
10240,26,-0.05903839319944382,0.014239209704101086,0.3105466961860657,0.33934909105300903,7150.451171875,0.0244140625,0.0009765625,0.912109375,0.0625
11264,29,-0.05718356743454933,0.011404721066355705,0.3728679418563843,0.34272629022598267,7238.74462890625,0.025390625,0.0009765625,0.9033203125,0.0703125
12288,32,-0.05464550852775574,0.01453019492328167,0.42067813873291016,0.34373846650123596,7106.95703125,0.033203125,0.0,0.919921875,0.046875
13312,34,-0.06006226688623428,0.01246107928454876,0.3540305495262146,0.3444063067436218,7130.10791015625,0.037109375,0.0009765625,0.90625,0.0556640625
14336,37,-0.05297701060771942,0.013712555170059204,0.426241010427475,0.33904367685317993,7143.208984375,0.0302734375,0.0,0.9033203125,0.06640625
15360,40,-0.053644560277462006,0.023914974182844162,0.44741201400756836,0.34302493929862976,7099.7587890625,0.0302734375,0.0,0.9111328125,0.05859375
16384,42,-0.05274185165762901,0.018107037991285324,0.3088458180427551,0.347271203994751,7126.2548828125,0.0283203125,0.0,0.908203125,0.0634765625
17408,45,-0.05402735620737076,0.013731850311160088,0.43203991651535034,0.3401549458503723,7173.3173828125,0.0263671875,0.0,0.9228515625,0.05078125
18432,48,-0.05538499355316162,0.015177970752120018,0.4401422142982483,0.34420257806777954,7022.9228515625,0.0341796875,0.0009765625,0.900390625,0.064453125
19456,50,-0.05327584594488144,0.013197925873100758,0.32817646861076355,0.3446613848209381,7116.505859375,0.0380859375,0.0,0.900390625,0.0615234375
20480,53,-0.06447125971317291,0.011803872883319855,0.6104074120521545,0.34023144841194153,7123.07177734375,0.0322265625,0.001953125,0.91015625,0.0556640625
21504,56,-0.05156109854578972,0.01597365364432335,0.4990112781524658,0.340334951877594,7218.013671875,0.02734375,0.0,0.9052734375,0.0673828125
22528,58,-0.055241912603378296,0.013290735892951488,0.3439598083496094,0.34611448645591736,7162.1884765625,0.0302734375,0.0009765625,0.9013671875,0.0673828125
23552,61,-0.055051758885383606,0.019309669733047485,0.500205397605896,0.3416237533092499,7158.615234375,0.025390625,0.0,0.927734375,0.046875
24576,64,-0.055937740951776505,0.020311087369918823,0.4899853765964508,0.33977368474006653,7205.5869140625,0.033203125,0.0009765625,0.90234375,0.0634765625
25600,66,-0.06231331825256348,0.016932915896177292,0.41621771454811096,0.3377959132194519,7139.01025390625,0.037109375,0.0009765625,0.90625,0.0556640625
26624,69,-0.055599622428417206,0.004286124370992184,0.5039560794830322,0.3449297547340393,7111.76953125,0.0302734375,0.0009765625,0.9228515625,0.0458984375
27648,72,-0.05351687967777252,0.02208898961544037,0.5089901685714722,0.3440381586551666,7061.1904296875,0.0302734375,0.0,0.900390625,0.0693359375
28672,74,-0.055739711970090866,0.011162469163537025,0.34482669830322266,0.3419669270515442,7074.0283203125,0.03125,0.0,0.9189453125,0.0498046875
29696,77,-0.05382721126079559,0.01933423988521099,0.49696221947669983,0.34520965814590454,7168.4931640625,0.0302734375,0.0,0.91015625,0.0595703125
30720,80,-0.052681513130664825,0.010580230504274368,0.48225611448287964,0.3426976501941681,7272.34326171875,0.0224609375,0.0,0.912109375,0.0654296875
31744,82,-0.05961288511753082,0.01849788799881935,0.4020368456840515,0.34503310918807983,7138.833984375,0.0244140625,0.0009765625,0.9111328125,0.0634765625
32768,85,-0.060980379581451416,0.015587407164275646,0.5550884008407593,0.34169062972068787,7220.03125,0.033203125,0.0009765625,0.9013671875,0.064453125
33792,88,-0.0650256872177124,0.02114925906062126,0.6275349855422974,0.34246182441711426,7176.5244140625,0.0244140625,0.001953125,0.9130859375,0.060546875
34816,90,-0.06295301020145416,0.009580984711647034,0.40213266015052795,0.3426526188850403,7021.072265625,0.0322265625,0.0009765625,0.9208984375,0.0458984375
35840,93,-0.054366566240787506,0.015108396299183369,0.5970636606216431,0.3439197838306427,7090.544921875,0.03515625,0.0,0.908203125,0.056640625
36864,96,-0.06029178202152252,0.014894464984536171,0.6465936899185181,0.3401920199394226,7048.064453125,0.0234375,0.0009765625,0.9111328125,0.064453125
37888,98,-0.05255639925599098,0.017521286383271217,0.36482304334640503,0.33776071667671204,7235.2412109375,0.033203125,0.0,0.904296875,0.0625
38912,101,-0.05359123647212982,0.0328957661986351,0.5364891290664673,0.3375992178916931,7184.66748046875,0.0390625,0.0,0.90234375,0.05859375
39936,104,-0.05749841779470444,0.01973193883895874,0.546761155128479,0.33917444944381714,6968.97119140625,0.033203125,0.0009765625,0.9072265625,0.05859375
40960,106,-0.05271380767226219,0.02019071765244007,0.33788132667541504,0.3422120213508606,7153.00927734375,0.03515625,0.0,0.8984375,0.06640625
41984,109,-0.05444547161459923,0.015828292816877365,0.5095893144607544,0.3404967188835144,7104.5009765625,0.02734375,0.0,0.919921875,0.052734375
43008,112,-0.052628763020038605,0.01578918844461441,0.4694083333015442,0.33866602182388306,7123.6318359375,0.0244140625,0.0,0.91015625,0.0654296875
44032,114,-0.06320822983980179,0.02200854942202568,0.4087504744529724,0.3384200930595398,7053.94921875,0.0263671875,0.0029296875,0.91796875,0.052734375
45056,117,-0.06665173172950745,0.015087406150996685,0.5990572571754456,0.3404598534107208,7051.580078125,0.0361328125,0.0009765625,0.9091796875,0.0537109375
46080,120,-0.053403932601213455,0.012930775061249733,0.5312453508377075,0.3398115336894989,7212.099609375,0.03515625,0.0,0.9052734375,0.0595703125
47104,122,-0.052514009177684784,0.013043654151260853,0.39131051301956177,0.3403196930885315,7180.5908203125,0.0390625,0.0,0.9013671875,0.0595703125
48128,125,-0.05650026351213455,0.011600518599152565,0.513954758644104,0.340237557888031,7071.0166015625,0.0322265625,0.0009765625,0.9150390625,0.0517578125
49152,128,-0.06172417104244232,0.019323891028761864,0.5431333184242249,0.33859413862228394,7068.1162109375,0.0283203125,0.001953125,0.908203125,0.0615234375
50000,130,-0.06256365031003952,0.001640181988477707,0.5358923673629761,0.34329432249069214,7159.5556640625,0.0330188679245283,0.0011792452830188679,0.9044811320754716,0.06132075471698113
